,velikost,lokace
1610,2+kk,praha-bubenec-narodni-obrany
1613,2+kk,praha-holesovice-osadni
1617,2+kk,praha-hloubetin-saarinenova
1620,2+1,praha-mala-strana-karmelitska
1624,3+kk,hostenice-hostenice-
1627,4+kk,hostenice-hostenice-
1631,3+kk,hostenice-hostenice-
1634,3+kk,horni-becva-horni-becva-
1638,3+1,praha-michle-u-botice
1641,2+kk,praha-podoli-jeremenkova
1645,3+1,kladno-kladno-podebradova
1648,1+kk,praha-smichov-graficka
1652,3+1,praha-motol-brdlikova
1655,atypicky,praha-karlin-kubova
1659,2+kk,brno-reckovice-kralovka
